source_dir,project_slug,owner_repo,case_key,run_id,run_dir,ok,final_status,manifest_present,reported_failed_block,failure_category,failure_subcategory,error_signature,error_excerpt,evidence_source
executionagent-runs-gpt4o,opencv-opencv,opencv/opencv,opencv/opencv@579dfb6e025c62acb16b7b3e1fe953030df68d40,executionagent-gpt4o-opencv,executionagent-runs-gpt4o/state/opencv-opencv/opencv/runs/executionagent-gpt4o-opencv,False,failed,True,30-project-dependencies,python_dependency_resolution,project-dependencies,block failed: 30-project-dependencies,block failed: 30-project-dependencies,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt54,keras-team-keras,keras-team/keras,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,executionagent-keras,executionagent-runs-gpt54/state/keras-team-keras/keras/runs/executionagent-keras,False,failed,True,02-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt54,reactivex-rxjava,ReactiveX/RxJava,ReactiveX/RxJava@6b28009fd08563eed648334d3d030acdd12818d3,executionagent-rxjava,executionagent-runs-gpt54/state/reactivex-rxjava/RxJava/runs/executionagent-rxjava,False,failed,True,02-language-deps,python_dependency_resolution,language-deps,block failed: 30-java-deps,block failed: 30-java-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt54,pandas-dev-pandas,pandas-dev/pandas,pandas-dev/pandas@944c527c0a7488df038b545f1ff38affae2f648c,executionagent-pandas,executionagent-runs-gpt54/state/pandas-dev-pandas/pandas/runs/executionagent-pandas,False,failed,True,03-build-test-prep,test_tooling_or_collection,build-test-prep,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt54,django-django,django/django,django/django@e95468ed97b1c250939da316218c39dad577ba32,executionagent-django,executionagent-runs-gpt54/state/django-django/django/runs/executionagent-django,False,failed,True,50-test-tooling,docker_or_container_runtime,container_runtime,docker run failed:,docker run failed:,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt54,dmlc-xgboost,dmlc/xgboost,dmlc/xgboost@e8fa612c9cfedd451958052422abadc0486dd937,executionagent-xgboost,executionagent-runs-gpt54/state/dmlc-xgboost/xgboost/runs/executionagent-xgboost,False,failed,True,10-system-packages,system_package_installation,system-packages,block failed: 20-python-runtime,block failed: 20-python-runtime,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt54,scikit-learn-scikit-learn,scikit-learn/scikit-learn,scikit-learn/scikit-learn@a1cae3ea26d4703f7eedd79464c18e6825c8f2cc,executionagent-scikit-learn,executionagent-runs-gpt54/state/scikit-learn-scikit-learn/scikit-learn/runs/executionagent-scikit-learn,False,failed,True,03-build-test-prep,test_tooling_or_collection,build-test-prep,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt54,activiti-activiti,Activiti/Activiti,Activiti/Activiti@fdc35a408e03da2e034a17a54968750d111b17e6,executionagent-activiti,executionagent-runs-gpt54/state/activiti-activiti/Activiti/runs/executionagent-activiti,False,failed,True,30-java-deps,java_runtime_or_dependency,java-deps,block failed: 30-java-deps,block failed: 30-java-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,encode-starlette,encode/starlette,encode/starlette@2d0dde8,installamatic-starlette,installamatic-runs/state/encode-starlette/starlette/runs/installamatic-starlette,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,mandarons-icloud-drive-docker,mandarons/icloud-drive-docker,mandarons/icloud-drive-docker@8cbcc2c,installamatic-icloud-drive-docker,installamatic-runs/state/mandarons-icloud-drive-docker/icloud-drive-docker/runs/installamatic-icloud-drive-docker,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,speechbrain-speechbrain,speechbrain/speechbrain,speechbrain/speechbrain@dd65e12,installamatic-speechbrain,installamatic-runs/state/speechbrain-speechbrain/speechbrain/runs/installamatic-speechbrain,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,vainf-torch-pruning,VainF/Torch-Pruning,VainF/Torch-Pruning@88e7472,installamatic-torch-pruning,installamatic-runs/state/vainf-torch-pruning/Torch-Pruning/runs/installamatic-torch-pruning,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,cvhub520-x-anylabeling,CVHub520/X-AnyLabeling,CVHub520/X-AnyLabeling@7c62ffb,installamatic-x-anylabeling,installamatic-runs/state/cvhub520-x-anylabeling/X-AnyLabeling/runs/installamatic-x-anylabeling,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,boto-boto3,boto/boto3,boto/boto3@4e31351,installamatic-boto3,installamatic-runs/state/boto-boto3/boto3/runs/installamatic-boto3,False,failed,True,20-python-runtime,python_dependency_resolution,python-runtime,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,tiangolo-fastapi,tiangolo/fastapi,tiangolo/fastapi@212fd5e,installamatic-fastapi,installamatic-runs/state/tiangolo-fastapi/fastapi/runs/installamatic-fastapi,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,aimhubio-aim,aimhubio/aim,aimhubio/aim@a566d4a,installamatic-aim,installamatic-runs/state/aimhubio-aim/aim/runs/installamatic-aim,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,explosion-spacy,explosion/spaCy,explosion/spaCy@30f1f33,installamatic-spacy,installamatic-runs/state/explosion-spacy/spaCy/runs/installamatic-spacy,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,python-mypy,python/mypy,python/mypy@0c10367,installamatic-mypy,installamatic-runs/state/python-mypy/mypy/runs/installamatic-mypy,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,open-compass-opencompass,open-compass/opencompass,open-compass/opencompass@7c7fa36,installamatic-opencompass,installamatic-runs/state/open-compass-opencompass/opencompass/runs/installamatic-opencompass,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,home-assistant-core,home-assistant/core,home-assistant/core@7555f20,installamatic-core,installamatic-runs/state/home-assistant-core/core/runs/installamatic-core,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,sciphi-ai-r2r,SciPhi-AI/R2R,SciPhi-AI/R2R@712defb,installamatic-r2r,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,microsoft-qlib,microsoft/qlib,microsoft/qlib@ca9f186,installamatic-qlib,installamatic-runs/state/microsoft-qlib/qlib/runs/installamatic-qlib,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,jxnl-instructor,jxnl/instructor,jxnl/instructor@959097e,installamatic-instructor,installamatic-runs/state/jxnl-instructor/instructor/runs/installamatic-instructor,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,soimort-you-get,soimort/you-get,soimort/you-get@c4042d0,installamatic-you-get,installamatic-runs/state/soimort-you-get/you-get/runs/installamatic-you-get,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,tqdm-tqdm,tqdm/tqdm,tqdm/tqdm@951a2ba,installamatic-tqdm,installamatic-runs/state/tqdm-tqdm/tqdm/runs/installamatic-tqdm,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,pennylaneai-pennylane,PennyLaneAI/pennylane,PennyLaneAI/pennylane@b78565c,installamatic-pennylane,installamatic-runs/state/pennylaneai-pennylane/pennylane/runs/installamatic-pennylane,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,sabnzbd-sabnzbd,sabnzbd/sabnzbd,sabnzbd/sabnzbd@07250aa,installamatic-sabnzbd,installamatic-runs/state/sabnzbd-sabnzbd/sabnzbd/runs/installamatic-sabnzbd,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs,getmoto-moto,getmoto/moto,getmoto/moto@255d2b8,installamatic-moto,installamatic-runs/state/getmoto-moto/moto/runs/installamatic-moto,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,mandarons-icloud-drive-docker,mandarons/icloud-drive-docker,mandarons/icloud-drive-docker@8cbcc2c,installamatic-icloud-drive-docker,installamatic-runs-rerun-failures-2/state/mandarons-icloud-drive-docker/icloud-drive-docker/runs/installamatic-icloud-drive-docker,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,speechbrain-speechbrain,speechbrain/speechbrain,speechbrain/speechbrain@dd65e12,installamatic-speechbrain,installamatic-runs-rerun-failures-2/state/speechbrain-speechbrain/speechbrain/runs/installamatic-speechbrain,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,vainf-torch-pruning,VainF/Torch-Pruning,VainF/Torch-Pruning@88e7472,installamatic-torch-pruning,installamatic-runs-rerun-failures-2/state/vainf-torch-pruning/Torch-Pruning/runs/installamatic-torch-pruning,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,cvhub520-x-anylabeling,CVHub520/X-AnyLabeling,CVHub520/X-AnyLabeling@7c62ffb,installamatic-x-anylabeling,installamatic-runs-rerun-failures-2/state/cvhub520-x-anylabeling/X-AnyLabeling/runs/installamatic-x-anylabeling,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,tiangolo-fastapi,tiangolo/fastapi,tiangolo/fastapi@212fd5e,installamatic-fastapi,installamatic-runs-rerun-failures-2/state/tiangolo-fastapi/fastapi/runs/installamatic-fastapi,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,python-mypy,python/mypy,python/mypy@0c10367,installamatic-mypy,installamatic-runs-rerun-failures-2/state/python-mypy/mypy/runs/installamatic-mypy,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,open-compass-opencompass,open-compass/opencompass,open-compass/opencompass@7c7fa36,installamatic-opencompass,installamatic-runs-rerun-failures-2/state/open-compass-opencompass/opencompass/runs/installamatic-opencompass,False,failed,True,20-python-runtime,python_dependency_resolution,python-runtime,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,home-assistant-core,home-assistant/core,home-assistant/core@7555f20,installamatic-core,installamatic-runs-rerun-failures-2/state/home-assistant-core/core/runs/installamatic-core,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,sciphi-ai-r2r,SciPhi-AI/R2R,SciPhi-AI/R2R@712defb,installamatic-r2r,installamatic-runs-rerun-failures-2/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,microsoft-qlib,microsoft/qlib,microsoft/qlib@ca9f186,installamatic-qlib,installamatic-runs-rerun-failures-2/state/microsoft-qlib/qlib/runs/installamatic-qlib,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,jxnl-instructor,jxnl/instructor,jxnl/instructor@959097e,installamatic-instructor,installamatic-runs-rerun-failures-2/state/jxnl-instructor/instructor/runs/installamatic-instructor,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-2,soimort-you-get,soimort/you-get,soimort/you-get@c4042d0,installamatic-you-get,installamatic-runs-rerun-failures-2/state/soimort-you-get/you-get/runs/installamatic-you-get,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-3,mandarons-icloud-drive-docker,mandarons/icloud-drive-docker,mandarons/icloud-drive-docker@8cbcc2c,installamatic-icloud-drive-docker,installamatic-runs-rerun-failures-3/state/mandarons-icloud-drive-docker/icloud-drive-docker/runs/installamatic-icloud-drive-docker,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-3,speechbrain-speechbrain,speechbrain/speechbrain,speechbrain/speechbrain@dd65e12,installamatic-speechbrain,installamatic-runs-rerun-failures-3/state/speechbrain-speechbrain/speechbrain/runs/installamatic-speechbrain,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-3,cvhub520-x-anylabeling,CVHub520/X-AnyLabeling,CVHub520/X-AnyLabeling@7c62ffb,installamatic-x-anylabeling,installamatic-runs-rerun-failures-3/state/cvhub520-x-anylabeling/X-AnyLabeling/runs/installamatic-x-anylabeling,False,failed,True,20-python-deps,python_dependency_resolution,python-deps,block failed: 20-python-deps,block failed: 20-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-3,tiangolo-fastapi,tiangolo/fastapi,tiangolo/fastapi@212fd5e,installamatic-fastapi,installamatic-runs-rerun-failures-3/state/tiangolo-fastapi/fastapi/runs/installamatic-fastapi,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-3,python-mypy,python/mypy,python/mypy@0c10367,installamatic-mypy,installamatic-runs-rerun-failures-3/state/python-mypy/mypy/runs/installamatic-mypy,False,failed,True,50-test-tooling,test_tooling_or_collection,test-tooling,block failed: 50-test-tooling,block failed: 50-test-tooling,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-3,open-compass-opencompass,open-compass/opencompass,open-compass/opencompass@7c7fa36,installamatic-opencompass,installamatic-runs-rerun-failures-3/state/open-compass-opencompass/opencompass/runs/installamatic-opencompass,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
installamatic-runs-rerun-failures-3,home-assistant-core,home-assistant/core,home-assistant/core@7555f20,installamatic-core,installamatic-runs-rerun-failures-3/state/home-assistant-core/core/runs/installamatic-core,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
